congress,chamber,party_code,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean
54,Senate,100,Democrat,40,-0.414,-0.1055,-0.42285,-0.173075
54,Senate,200,Republican,44,0.3215,-0.1525,0.346181818,-0.090863636
54,Senate,340,Populist,4,-0.161,0.976,-0.15025,0.85775
54,Senate,1060,Silver,2,0.228,0.2235,0.228,0.2235
55,President,200,Republican,1,0.232,0.372,0.232,0.372
55,House,100,Democrat,132,-0.396,0.122,-0.389136364,0.062090909
55,House,200,Republican,212,0.4345,-0.047,0.430429245,-0.041589623
55,House,331,Ind. Republican,1,0.443,-0.085,0.443,-0.085
55,House,340,Populist,22,-0.2535,0.951,-0.249318182,0.916227273
55,House,354,Silver Republican,3,-0.198,0.465,-0.113,0.392666667
55,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
55,Senate,100,Democrat,38,-0.424,0,-0.426054054,-0.126135135
55,Senate,200,Republican,46,0.374,-0.303,0.381108696,-0.294847826
55,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354
55,Senate,354,Silver Republican,5,0.095,0.825,0.0666,0.7902
55,Senate,1060,Silver,2,0.228,0.2235,0.228,0.2235
56,President,200,Republican,1,0.232,0.372,0.232,0.372
56,House,100,Democrat,170,-0.36,-0.01,-0.36443787,-0.048976331
56,House,200,Republican,197,0.442,-0.005,0.437263959,-0.009670051
56,House,340,Populist,7,-0.298,0.954,-0.328428571,0.859428571
56,House,354,Silver Republican,2,-0.124,0.2495,-0.124,0.2495
56,House,1060,Silver,1,-0.177,-0.067,-0.177,-0.067
56,Senate,100,Democrat,28,-0.4325,-0.061,-0.418071429,-0.096892857
56,Senate,200,Republican,57,0.386,-0.2445,0.396857143,-0.218464286
56,Senate,340,Populist,5,-0.214,0.968,-0.191,0.8354
56,Senate,354,Silver Republican,3,0.071,0.825,0.027,0.769
56,Senate,1060,Silver,2,0.228,0.2235,0.228,0.2235
57,President,200,Republican,2,0.3175,0.425,0.3175,0.425
57,House,100,Democrat,161,-0.3645,0.0425,-0.36856875,0.01243125
57,House,200,Republican,206,0.4435,-0.0635,0.44768932,-0.045150485
57,House,340,Populist,5,-0.284,0.542,-0.2814,0.524
57,House,354,Silver Republican,1,-0.198,0.121,-0.198,0.121
57,Senate,100,Democrat,32,-0.397,-0.011,-0.37375,-0.01946875
57,Senate,200,Republican,60,0.4015,-0.295,0.399416667,-0.190366667
57,Senate,340,Populist,2,-0.188,0.8765,-0.188,0.8765
58,President,200,Republican,1,0.403,0.478,0.403,0.478
58,House,100,Democrat,182,-0.368,0.016,-0.363852273,-0.039823864
58,House,200,Republican,215,0.443,-0.044,0.449686916,-0.006098131
58,House,331,Ind. Republican,3,0.58,-0.808,0.585,-0.781333333
58,Senate,100,Democrat,33,-0.39,-0.144,-0.360545455,-0.14130303
58,Senate,200,Republican,60,0.435,-0.295,0.433716667,-0.199316667
59,President,200,Republican,1,0.403,0.478,0.403,0.478
59,House,100,Democrat,141,-0.395,-0.0075,-0.379775362,-0.038789855
59,House,200,Republican,262,0.444,-0.069,0.444737452,-0.035725869
59,Senate,100,Democrat,35,-0.395,-0.144,-0.3672,-0.130228571
59,Senate,200,Republican,63,0.433,-0.244,0.435885246,-0.156655738
60,President,200,Republican,1,0.403,0.478,0.403,0.478
60,House,100,Democrat,170,-0.3665,-0.01,-0.360214286,-0.054238095
60,House,200,Republican,230,0.442,-0.0285,0.438486957,-0.001908696
60,House,331,Ind. Republican,1,0.551,-0.746,0.551,-0.746
60,Senate,100,Democrat,37,-0.3905,-0.176,-0.360972222,-0.189305556
60,Senate,200,Republican,65,0.426,-0.187,0.425907692,-0.093723077
61,President,200,Republican,1,0.175,-0.985,0.175,-0.985
61,House,100,Democrat,180,-0.365,0.018,-0.352659218,-0.017905028
61,House,200,Republican,222,0.432,-0.0505,0.426693694,-0.03531982
61,Senate,100,Democrat,40,-0.38,-0.2045,-0.361157895,-0.261552632
61,Senate,200,Republican,63,0.417,-0.129,0.417428571,-0.065571429
62,President,200,Republican,1,0.175,-0.985,0.175,-0.985
62,House,100,Democrat,237,-0.32,-0.002,-0.325468354,-0.038704641
62,House,200,Republican,170,0.414,-0.004,0.413538462,0.030633136
62,House,213,Progressive Republican,1,0.11,0.866,0.11,0.866
62,House,380,Socialist,1,0.176,0.635,0.176,0.635
62,Senate,100,Democrat,53,-0.298,-0.162,-0.309647059,-0.175764706
62,Senate,200,Republican,57,0.417,-0.128,0.407421053,-0.023263158
63,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
63,House,100,Democrat,305,-0.304,0.025,-0.308013289,-0.045524917
63,House,200,Republican,139,0.4005,0.12,0.403644928,0.049318841
63,House,328,Independent,1,0.083,0.203,0.083,0.203
63,House,370,Progressive,9,0.29,0.557,0.288555556,0.400666667
63,Senate,100,Democrat,56,-0.278,-0.141,-0.280946429,-0.149589286
63,Senate,200,Republican,44,0.4175,-0.038,0.406886364,0.030363636
63,Senate,370,Progressive,1,0.199,0.341,0.199,0.341
64,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
64,House,100,Democrat,235,-0.318,0.169,-0.313790598,0.082397436
64,House,200,Republican,200,0.4105,0.013,0.40984,-0.044395
64,House,328,Independent,1,0.083,0.203,0.083,0.203
64,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
64,House,370,Progressive,6,0.313,-0.059,0.245833333,-0.033166667
64,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
64,Senate,100,Democrat,58,-0.2865,-0.0635,-0.284689655,-0.095344828
64,Senate,200,Republican,42,0.432,-0.0495,0.421666667,0.024833333
65,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
65,House,100,Democrat,226,-0.312,0.201,-0.307648889,0.119364444
65,House,200,Republican,225,0.4,0,0.408040359,-0.030161435
65,House,331,Ind. Republican,1,0.178,0.036,0.178,0.036
65,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
65,House,370,Progressive,3,0.214,0.233,0.134333333,0.291333333
65,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
65,Senate,100,Democrat,62,-0.269,-0.137,-0.278606557,-0.12242623
65,Senate,200,Republican,49,0.403,-0.044,0.418638298,0.033446809
66,President,100,Democrat,1,-0.398,-0.559,-0.398,-0.559
66,House,100,Democrat,204,-0.3195,0.2575,-0.310848039,0.120044118
66,House,200,Republican,248,0.4095,0.0585,0.4045,0.001862903
66,House,331,Ind. Republican,1,0.194,0.981,0.194,0.981
66,House,347,Prohibitionist,1,0.026,0.591,0.026,0.591
66,House,356,Union Labor,1,-0.077,0.786,-0.077,0.786
66,Senate,100,Democrat,50,-0.281,-0.14,-0.29324,-0.15808
66,Senate,200,Republican,51,0.426,-0.055,0.425078431,0.033039216
67,President,200,Republican,1,0.445,-0.748,0.445,-0.748
67,House,100,Democrat,138,-0.312,0.4085,-0.309608696,0.318253623
67,House,200,Republican,313,0.403,0.041,0.394543408,0.005961415
67,House,331,Ind. Republican,1,0.452,-0.062,0.452,-0.062
67,House,380,Socialist,1,-0.026,0.512,-0.026,0.512
67,Senate,100,Democrat,40,-0.269,-0.137,-0.286410256,-0.138794872
67,Senate,200,Republican,67,0.432,0.045,0.420742424,0.063454545
68,President,200,Republican,2,0.4205,-0.219,0.4205,-0.219
68,House,100,Democrat,218,-0.279,0.383,-0.288557604,0.243059908
68,House,200,Republican,233,0.413,0.109,0.407137339,0.053682403
68,House,380,Socialist,1,0.176,0.635,0.176,0.635
68,House,537,Farmer-Labor,2,0.151,0.9885,0.151,0.9885
68,Senate,100,Democrat,43,-0.259,-0.028,-0.25327907,-0.090186047
68,Senate,200,Republican,59,0.43,0.057,0.413898305,0.060830508
68,Senate,537,Farmer-Labor,2,0.19,0.908,0.19,0.908
69,President,200,Republican,1,0.396,0.31,0.396,0.31
69,House,100,Democrat,185,-0.265,0.521,-0.280518919,0.329048649
69,House,200,Republican,253,0.401,0.0525,0.394696,0.008624
69,House,380,Socialist,1,0.176,0.635,0.176,0.635
69,House,523,American Labor,1,0.208,0.66,0.208,0.66
69,House,537,Farmer-Labor,3,0.151,0.988,0.075,0.921
69,Senate,100,Democrat,43,-0.267,-0.055,-0.268651163,-0.091534884
69,Senate,200,Republican,61,0.419,0.14,0.397967213,0.14557377
69,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
70,President,200,Republican,1,0.396,0.31,0.396,0.31
70,House,100,Democrat,198,-0.2655,0.523,-0.285979798,0.309010101
70,House,200,Republican,243,0.39,0.055,0.38240249,0.019983402
70,House,380,Socialist,1,0.176,0.635,0.176,0.635
70,House,537,Farmer-Labor,2,0.037,0.887,0.037,0.887
70,Senate,100,Democrat,48,-0.263,-0.034,-0.2726875,-0.050020833
70,Senate,200,Republican,54,0.417,0.14,0.392490566,0.148735849
70,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
71,President,200,Republican,1,,,,
71,House,100,Democrat,177,-0.265,0.515,-0.283653179,0.29816185
71,House,200,Republican,278,0.376,0.054,0.368870036,0.014635379
71,House,537,Farmer-Labor,2,-0.014,0.349,-0.014,0.349
71,Senate,100,Democrat,44,-0.268,0.0005,-0.278477273,0.012613636
71,Senate,200,Republican,64,0.4185,0.0465,0.403421875,0.06815625
71,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
72,President,200,Republican,1,,,,
72,House,100,Democrat,231,-0.249,0.503,-0.255692641,0.323597403
72,House,200,Republican,221,0.3775,-0.026,0.360331818,-0.035872727
72,House,537,Farmer-Labor,1,-0.179,-0.29,-0.179,-0.29
72,Senate,100,Democrat,53,-0.2365,0.1155,-0.227384615,0.163903846
72,Senate,200,Republican,52,0.3705,0.074,0.367134615,0.081211538
72,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
73,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
73,House,100,Democrat,322,-0.2415,0.3105,-0.251487578,0.215263975
73,House,200,Republican,120,0.348,-0.2025,0.331091667,-0.24065
73,House,537,Farmer-Labor,5,0.17,0.435,0.1066,0.4562
73,Senate,100,Democrat,65,-0.221,0.243,-0.207938462,0.246107692
73,Senate,200,Republican,37,0.323,0.048,0.331945946,0.096324324
73,Senate,537,Farmer-Labor,1,0.21,0.978,0.21,0.978
74,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
74,House,100,Democrat,329,-0.243,0.166,-0.255620795,0.181633028
74,House,200,Republican,105,0.318,-0.243,0.30507619,-0.27012381
74,House,370,Progressive,7,-0.119,-0.744,-0.107571429,-0.448
74,House,537,Farmer-Labor,3,-0.179,-0.29,-0.076666667,0.031
74,Senate,100,Democrat,77,-0.209,0.243,-0.20784,0.231133333
74,Senate,200,Republican,26,0.276,0.217,0.2972,0.1726
74,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
74,Senate,537,Farmer-Labor,2,0.115,0.989,0.115,0.989
75,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
75,House,100,Democrat,343,-0.239,0.1355,-0.255970588,0.1692
75,House,200,Republican,94,0.318,-0.16,0.313537634,-0.177301075
75,House,370,Progressive,8,-0.1415,-0.5085,-0.15075,-0.42125
75,House,537,Farmer-Labor,5,-0.28,-0.936,-0.2782,-0.7458
75,Senate,100,Democrat,84,-0.2275,0.24,-0.227646341,0.2425
75,Senate,200,Republican,19,0.255,-0.018,0.266882353,0.041823529
75,Senate,328,Independent,1,0.134,0.991,0.134,0.991
75,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
75,Senate,537,Farmer-Labor,2,0.2135,0.977,0.2135,0.977
76,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
76,House,100,Democrat,276,-0.232,0.358,-0.249124542,0.274380952
76,House,200,Republican,178,0.3025,-0.2435,0.308162921,-0.249893258
76,House,370,Progressive,2,-0.101,-0.5375,-0.101,-0.5375
76,House,522,American Labor,1,-0.415,-0.91,-0.415,-0.91
76,House,537,Farmer-Labor,1,-0.268,-0.593,-0.268,-0.593
76,Senate,100,Democrat,73,-0.224,0.243,-0.220493151,0.260945205
76,Senate,200,Republican,27,0.246,-0.172,0.253925926,-0.100592593
76,Senate,328,Independent,1,0.134,0.991,0.134,0.991
76,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
76,Senate,537,Farmer-Labor,2,0.2135,0.977,0.2135,0.977
77,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
77,House,100,Democrat,278,-0.2375,0.2735,-0.257597826,0.262387681
77,House,200,Republican,170,0.316,-0.2095,0.312910714,-0.240041667
77,House,329,Ind. Democrat,1,-0.302,0.6,-0.302,0.6
77,House,370,Progressive,3,-0.119,-0.744,-0.107,-0.606333333
77,House,522,American Labor,1,-0.415,-0.91,-0.415,-0.91
77,House,537,Farmer-Labor,1,-0.268,-0.593,-0.268,-0.593
77,Senate,100,Democrat,76,-0.221,0.312,-0.217643836,0.30730137
77,Senate,200,Republican,31,0.254,-0.098,0.254166667,-0.094366667
77,Senate,328,Independent,1,0.134,0.991,0.134,0.991
77,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
78,President,100,Democrat,1,-0.368,0.245,-0.368,0.245
78,House,100,Democrat,229,-0.2295,0.509,-0.248574561,0.361938596
78,House,200,Republican,218,0.3025,-0.267,0.301720183,-0.281261468
78,House,370,Progressive,2,-0.0785,-0.5085,-0.0785,-0.5085
78,House,522,American Labor,1,-0.415,-0.91,-0.415,-0.91
78,House,537,Farmer-Labor,1,0.099,-0.031,0.099,-0.031
78,Senate,100,Democrat,61,-0.191,0.314,-0.195133333,0.2798
78,Senate,200,Republican,42,0.277,-0.041,0.291738095,-0.091928571
78,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
79,President,100,Democrat,2,-0.371,0.1295,-0.371,0.1295
79,House,100,Democrat,250,-0.2575,0.404,-0.264604,0.3379
79,House,200,Republican,195,0.297,-0.243,0.30345641,-0.244046154
79,House,370,Progressive,1,-0.038,-0.273,-0.038,-0.273
79,House,522,American Labor,1,-0.415,-0.91,-0.415,-0.91
79,Senate,100,Democrat,66,-0.209,0.334,-0.219,0.321815385
79,Senate,200,Republican,42,0.271,-0.1365,0.274952381,-0.151
79,Senate,370,Progressive,1,0.048,0.95,0.048,0.95
80,President,100,Democrat,1,-0.374,0.014,-0.374,0.014
80,House,100,Democrat,194,-0.2195,0.6275,-0.237324742,0.487458763
80,House,200,Republican,253,0.278,-0.3,0.285343874,-0.312660079
80,House,522,American Labor,2,-0.7075,-0.464,-0.7075,-0.464
80,Senate,100,Democrat,47,-0.195,0.564,-0.191531915,0.466297872
80,Senate,200,Republican,51,0.287,-0.172,0.292784314,-0.202686275
81,President,100,Democrat,1,-0.374,0.014,-0.374,0.014
81,House,100,Democrat,267,-0.303,0.344,-0.275569288,0.357876404
81,House,200,Republican,176,0.2715,-0.2365,0.277005682,-0.254284091
81,House,402,Liberal,1,-0.619,-0.188,-0.619,-0.188
81,House,522,American Labor,1,-0.415,-0.91,-0.415,-0.91
81,Senate,100,Democrat,62,-0.221,0.357,-0.239393443,0.362590164
81,Senate,200,Republican,47,0.248,-0.247,0.266531915,-0.289170213
82,President,100,Democrat,1,-0.374,0.014,-0.374,0.014
82,House,100,Democrat,240,-0.2855,0.4305,-0.262333333,0.421
82,House,200,Republican,207,0.271,-0.219,0.280019324,-0.255183575
82,House,328,Independent,1,-0.151,-0.025,-0.151,-0.025
82,Senate,100,Democrat,51,-0.206,0.477,-0.200333333,0.415215686
82,Senate,200,Republican,48,0.273,-0.325,0.276,-0.290395833
83,President,200,Republican,1,0.281,-0.864,0.281,-0.864
83,House,100,Democrat,218,-0.271,0.5655,-0.253344037,0.475481651
83,House,200,Republican,222,0.2745,-0.2285,0.277657658,-0.246054054
83,House,328,Independent,1,-0.151,-0.025,-0.151,-0.025
83,Senate,100,Democrat,54,-0.204,0.528,-0.191792453,0.47145283
83,Senate,200,Republican,56,0.273,-0.389,0.286796296,-0.357592593
83,Senate,328,Independent,1,-0.851,0.525,-0.851,0.525
84,President,200,Republican,1,0.281,-0.864,0.281,-0.864
84,House,100,Democrat,235,-0.305,0.407,-0.279097872,0.43966383
84,House,200,Republican,203,0.268,-0.214,0.277251232,-0.219743842
84,Senate,100,Democrat,51,-0.242,0.428,-0.230235294,0.425862745
84,Senate,200,Republican,47,0.28,-0.334,0.280489362,-0.325595745
84,Senate,328,Independent,1,-0.851,0.525,-0.851,0.525
85,President,200,Republican,1,0.281,-0.864,0.281,-0.864
85,House,100,Democrat,240,-0.306,0.4435,-0.282779167,0.462329167
85,House,200,Republican,204,0.2645,-0.2365,0.268220588,-0.246941176
85,Senate,100,Democrat,53,-0.242,0.525,-0.233962264,0.455943396
85,Senate,200,Republican,48,0.28,-0.3575,0.267854167,-0.337145833
86,President,200,Republican,1,0.281,-0.864,0.281,-0.864
86,House,100,Democrat,286,-0.313,0.349,-0.29570979,0.414604895
86,House,200,Republican,157,0.255,-0.232,0.266717949,-0.228365385
86,House,329,Ind. Democrat,1,0.011,1,0.011,1
86,Senate,100,Democrat,67,-0.265,0.387,-0.272447761,0.368850746
86,Senate,200,Republican,36,0.257,-0.389,0.255944444,-0.363527778
87,President,100,Democrat,1,-0.472,-0.487,-0.472,-0.487
87,House,100,Democrat,273,-0.304,0.352,-0.277285714,0.420307692
87,House,200,Republican,177,0.2445,-0.1915,0.262369318,-0.221079545
87,Senate,100,Democrat,65,-0.296,0.391,-0.277892308,0.387353846
87,Senate,200,Republican,40,0.2775,-0.4,0.26895,-0.3872
88,President,100,Democrat,2,-0.4045,-0.261,-0.4045,-0.261
88,House,100,Democrat,262,-0.3275,0.324,-0.292045802,0.383877863
88,House,200,Republican,181,0.25,-0.187,0.256016575,-0.215729282
88,Senate,100,Democrat,69,-0.311,0.31,-0.291173913,0.340884058
88,Senate,200,Republican,33,0.232,-0.434,0.278424242,-0.429575758
89,President,100,Democrat,1,-0.337,-0.035,-0.337,-0.035
89,House,100,Democrat,301,-0.327,0.229,-0.30076412,0.306697674
89,House,200,Republican,143,0.243,-0.192,0.245825175,-0.209405594
89,Senate,100,Democrat,70,-0.316,0.31,-0.297271429,0.335257143
89,Senate,200,Republican,33,0.308,-0.418,0.279575758,-0.388242424
90,President,100,Democrat,1,-0.337,-0.035,-0.337,-0.035
90,House,100,Democrat,250,-0.3425,0.2365,-0.29552,0.317728
90,House,200,Republican,189,0.241,-0.157,0.243026455,-0.192592593
90,Senate,100,Democrat,64,-0.312,0.31,-0.29890625,0.3414375
90,Senate,200,Republican,37,0.275,-0.434,0.253,-0.426783784
91,President,200,Republican,1,0.552,-0.834,0.552,-0.834
91,House,100,Democrat,250,-0.3445,0.2275,-0.309768,0.289128
91,House,200,Republican,199,0.244,-0.13,0.254623116,-0.177281407
91,Senate,100,Democrat,58,-0.319,0.2545,-0.289051724,0.346
91,Senate,200,Republican,44,0.273,-0.4435,0.250840909,-0.446204545
92,President,200,Republican,1,0.552,-0.834,0.552,-0.834
92,House,100,Democrat,259,-0.344,0.256,-0.310548263,0.294710425
92,House,200,Republican,185,0.246,-0.144,0.2544,-0.176745946
92,Senate,100,Democrat,56,-0.31,0.2715,-0.28675,0.355785714
92,Senate,112,Conservative,1,0.499,-0.441,0.499,-0.441
92,Senate,200,Republican,45,0.271,-0.445,0.233222222,-0.458755556
92,Senate,328,Independent,1,0.092,0.968,0.092,0.968
93,President,200,Republican,2,0.529,-0.79,0.529,-0.79
93,House,100,Democrat,246,-0.3505,0.217,-0.32346748,0.236406504
93,House,200,Republican,195,0.25,-0.118,0.260948718,-0.149958974
93,House,329,Ind. Democrat,1,-0.418,-0.054,-0.418,-0.054
93,Senate,100,Democrat,57,-0.319,0.254,-0.325842105,0.29577193
93,Senate,112,Conservative,1,0.499,-0.441,0.499,-0.441
93,Senate,200,Republican,43,0.278,-0.434,0.264837209,-0.38372093
93,Senate,328,Independent,1,0.092,0.968,0.092,0.968
94,President,200,Republican,1,0.506,-0.746,0.506,-0.746
94,House,100,Democrat,294,-0.3385,0.1165,-0.315289116,0.141880952
94,House,200,Republican,147,0.25,-0.118,0.264918367,-0.175102041
94,Senate,100,Democrat,61,-0.319,0.223,-0.324540984,0.274885246
94,Senate,112,Conservative,1,0.499,-0.441,0.499,-0.441
94,Senate,200,Republican,38,0.2805,-0.4175,0.270842105,-0.378289474
94,Senate,328,Independent,1,0.092,0.968,0.092,0.968
95,President,100,Democrat,1,-0.504,0.119,-0.504,0.119
95,House,100,Democrat,294,-0.3235,0.111,-0.305894558,0.118748299
95,House,200,Republican,147,0.262,-0.132,0.267054422,-0.178605442
95,Senate,100,Democrat,65,-0.329,0.31,-0.319646154,0.2938
95,Senate,200,Republican,38,0.2935,-0.4605,0.269026316,-0.405578947
95,Senate,328,Independent,1,0.092,0.968,0.092,0.968
96,President,100,Democrat,1,-0.504,0.119,-0.504,0.119
96,House,100,Democrat,281,-0.321,0.094,-0.301313167,0.109715302
96,House,200,Republican,161,0.281,-0.154,0.294695652,-0.178583851
96,Senate,100,Democrat,59,-0.319,0.209,-0.312864407,0.262305085
96,Senate,200,Republican,41,0.275,-0.445,0.276634146,-0.39497561
96,Senate,328,Independent,1,0.092,0.968,0.092,0.968
97,President,200,Republican,1,0.692,-0.713,0.692,-0.713
97,House,100,Democrat,247,-0.32,0.07,-0.300396761,0.092226721
97,House,200,Republican,196,0.307,-0.168,0.30644898,-0.198816327
97,House,328,Independent,1,-0.506,-0.057,-0.506,-0.057
97,Senate,100,Democrat,46,-0.314,0.311,-0.299304348,0.260782609
97,Senate,200,Republican,54,0.294,-0.313,0.310240741,-0.317351852
97,Senate,328,Independent,1,0.092,0.968,0.092,0.968
98,President,200,Republican,1,0.692,-0.713,0.692,-0.713
98,House,100,Democrat,272,-0.317,0.049,-0.301783088,0.070827206
98,House,200,Republican,168,0.328,-0.18,0.325586826,-0.206784431
98,Senate,100,Democrat,46,-0.314,0.2595,-0.301326087,0.246695652
98,Senate,200,Republican,55,0.283,-0.279,0.307072727,-0.303490909
99,President,200,Republican,1,0.692,-0.713,0.692,-0.713
99,House,100,Democrat,257,-0.32,0.058,-0.309525292,0.081902724
99,House,200,Republican,182,0.344,-0.2065,0.333703297,-0.21243956
99,Senate,100,Democrat,47,-0.322,0.155,-0.305595745,0.215297872
99,Senate,200,Republican,54,0.281,-0.267,0.313851852,-0.284944444
100,President,200,Republican,1,0.692,-0.713,0.692,-0.713
100,House,100,Democrat,262,-0.32,0.049,-0.309324427,0.084717557
100,House,200,Republican,179,0.346,-0.221,0.335340782,-0.233173184
100,Senate,100,Democrat,55,-0.313,0.137,-0.294363636,0.200272727
100,Senate,200,Republican,46,0.3025,-0.308,0.313695652,-0.334543478
101,President,200,Republican,1,0.557,-0.547,0.557,-0.547
101,House,100,Democrat,265,-0.32,0.012,-0.313049057,0.080879245
101,House,200,Republican,180,0.344,-0.225,0.339644444,-0.248127778
101,Senate,100,Democrat,56,-0.306,0.031,-0.293428571,0.123285714
101,Senate,200,Republican,46,0.316,-0.3,0.322652174,-0.301891304
102,President,200,Republican,1,0.557,-0.547,0.557,-0.547
102,House,100,Democrat,270,-0.3195,0.0115,-0.314225926,0.080288889
102,House,200,Republican,170,0.3495,-0.2115,0.344735294,-0.229258824
102,House,328,Independent,1,-0.527,-0.379,-0.527,-0.379
102,Senate,100,Democrat,58,-0.311,0.01,-0.299172414,0.106034483
102,Senate,200,Republican,44,0.307,-0.3015,0.319431818,-0.306704545
103,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
103,House,100,Democrat,261,-0.336,-0.002,-0.333298851,0.069613027
103,House,200,Republican,180,0.377,-0.1435,0.371072222,-0.182138889
103,House,328,Independent,1,-0.527,-0.379,-0.527,-0.379
103,Senate,100,Democrat,57,-0.309,-0.012,-0.296192982,0.074210526
103,Senate,200,Republican,45,0.346,-0.275,0.337355556,-0.267977778
104,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
104,House,100,Democrat,208,-0.3805,-0.004,-0.361423077,0.061254808
104,House,200,Republican,236,0.385,-0.0905,0.397012712,-0.118139831
104,House,328,Independent,1,-0.527,-0.379,-0.527,-0.379
104,Senate,100,Democrat,48,-0.3085,-0.0485,-0.301520833,0.008604167
104,Senate,200,Republican,55,0.356,-0.234,0.350545455,-0.233254545
105,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
105,House,100,Democrat,212,-0.3835,-0.03,-0.37559434,0.036051887
105,House,200,Republican,231,0.39,-0.053,0.401848485,-0.073813853
105,House,328,Independent,1,-0.527,-0.379,-0.527,-0.379
105,Senate,100,Democrat,45,-0.308,-0.067,-0.310533333,-0.049577778
105,Senate,200,Republican,55,0.381,-0.181,0.373,-0.179236364
106,President,100,Democrat,1,-0.438,0.033,-0.438,0.033
106,House,100,Democrat,213,-0.384,-0.026,-0.372873239,0.044206573
106,House,200,Republican,225,0.391,-0.026,0.404408889,-0.056782222
106,House,328,Independent,2,0.028,0.081,0.028,0.081
106,Senate,100,Democrat,46,-0.302,-0.0855,-0.294913043,-0.062891304
106,Senate,200,Republican,56,0.3735,-0.188,0.363267857,-0.220214286
107,President,200,Republican,1,0.693,-0.539,0.693,-0.539
107,House,100,Democrat,214,-0.3845,-0.0325,-0.376817757,0.039780374
107,House,200,Republican,228,0.402,0.0085,0.409951754,-0.028828947
107,House,328,Independent,2,0.028,0.081,0.028,0.081
107,Senate,100,Democrat,50,-0.3055,-0.079,-0.2947,-0.04172
107,Senate,200,Republican,50,0.3815,-0.1295,0.36814,-0.1969
107,Senate,328,Independent,2,-0.277,-0.603,-0.277,-0.603
108,President,200,Republican,1,0.693,-0.539,0.693,-0.539
108,House,100,Democrat,208,-0.3825,-0.036,-0.376216346,0.047625
108,House,200,Republican,231,0.402,0.021,0.416848485,-0.010290043
108,House,328,Independent,1,-0.527,-0.379,-0.527,-0.379
108,Senate,100,Democrat,48,-0.3085,-0.079,-0.291916667,-0.041104167
108,Senate,200,Republican,51,0.364,-0.128,0.358215686,-0.187647059
108,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
109,President,200,Republican,1,0.693,-0.539,0.693,-0.539
109,House,100,Democrat,203,-0.391,-0.04,-0.387167488,0.030975369
109,House,200,Republican,236,0.409,0.022,0.422804255,-0.002361702
109,House,328,Independent,1,-0.527,-0.379,-0.527,-0.379
109,Senate,100,Democrat,45,-0.326,-0.128,-0.307755556,-0.098955556
109,Senate,200,Republican,55,0.382,-0.121,0.3784,-0.164654545
109,Senate,328,Independent,1,-0.277,-0.603,-0.277,-0.603
110,President,200,Republican,1,0.693,-0.539,0.693,-0.539
110,House,100,Democrat,242,-0.3795,-0.0075,-0.367946281,0.044698347
110,House,200,Republican,206,0.426,0.06,0.439713592,0.026917476
110,Senate,100,Democrat,50,-0.314,-0.118,-0.29558,-0.08588
110,Senate,200,Republican,51,0.402,-0.11,0.392039216,-0.141156863
110,Senate,328,Independent,1,-0.527,-0.379,-0.527,-0.379
111,President,100,Democrat,1,-0.354,-0.203,-0.354,-0.203
111,House,100,Democrat,263,-0.349,-0.007,-0.348098859,0.038893536
111,House,200,Republican,183,0.438,0.06,0.456327869,0.02963388
111,Senate,100,Democrat,66,-0.3165,-0.1075,-0.308924242,-0.072424242
111,Senate,200,Republican,44,0.402,-0.0595,0.399045455,-0.114204545
111,Senate,328,Independent,1,-0.527,-0.379,-0.527,-0.379
112,President,100,Democrat,1,-0.354,-0.203,-0.354,-0.203
112,House,100,Democrat,200,-0.3985,-0.0745,-0.393105,-0.03294
112,House,200,Republican,245,0.467,0.047,0.468334694,0.03337551
112,Senate,100,Democrat,53,-0.319,-0.116,-0.300830189,-0.071811321
112,Senate,200,Republican,48,0.412,-0.0595,0.443895833,-0.085020833
112,Senate,328,Independent,1,-0.527,-0.379,-0.527,-0.379
